school_id,landsat_prob_fail,static_prob_fail,intervention,h50_fail_pred,h140_fail_pred,h230_fail_pred,h330_fail_pred,region,province
106994,11.557229042053224,9.369136810302734,0,35.32086181640625,18.25686454772949,17.93869972229004,28.577964782714844,1,12
106997,12.91683292388916,22.93249320983887,0,-1.0,-1.0,-1.0,-1.0,1,12
106471,3.096855878829956,23.35873031616211,0,28.18488693237305,26.8892879486084,22.57090950012207,52.77720260620117,1,11
107635,15.310632705688475,64.28679656982422,0,-1.0,-1.0,-1.0,-1.0,2,2
107255,6.8446717262268075,52.79852676391602,0,54.834144592285156,36.01710510253906,25.69583320617676,46.56299591064453,2,2
108042,23.854816436767575,63.63772583007813,0,-1.0,-1.0,-1.0,-1.0,2,4
105355,30.84269523620605,14.445235252380373,0,22.86032485961914,33.431259155273445,13.647241592407227,12.536260604858398,1,7
107643,34.255409240722656,58.85864639282226,0,-1.0,-1.0,-1.0,-1.0,2,2
105954,4.6397128105163565,55.65472412109375,0,52.21134567260742,63.73503112792969,62.93934631347656,53.31451797485352,1,8
136620,57.74959182739258,50.94340515136719,0,34.70893096923828,50.87422180175781,43.82638931274414,73.39942932128906,0,6
107760,22.50079917907715,25.240875244140625,0,43.52873611450195,19.45858192443848,14.160430908203125,40.80355072021485,2,2
106157,6.5061302185058585,49.5251579284668,0,55.00960540771485,53.99772644042969,64.78427886962889,43.73131561279297,1,8
108745,81.60590362548828,42.61137771606445,0,-1.0,-1.0,-1.0,-1.0,2,9
105020,11.599664688110352,47.35042572021485,0,39.18691635131836,64.68321228027344,69.48548889160156,29.9278621673584,1,3
108915,79.7546157836914,65.99369812011719,0,-1.0,-1.0,-1.0,-1.0,2,9
107997,22.555294036865234,31.838926315307614,0,38.20754623413086,29.8463191986084,47.53678512573242,22.04892349243164,2,4
104962,11.334684371948242,64.42194366455078,0,-1.0,-1.0,-1.0,-1.0,1,3
109590,48.270408630371094,48.51494598388672,0,52.43108367919922,36.19450759887695,44.27955627441406,30.926990509033203,2,2
107250,25.28157615661621,37.52783584594727,0,36.89741134643555,17.876989364624023,31.88622283935547,33.35128402709961,2,2
106219,3.4186487197875977,38.17898178100586,0,34.77033233642578,38.83718490600586,31.633907318115234,42.83827209472656,1,8
