,school_id,latitude,longitude,type
124,50006444,-20.4614818,-54.6270658,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
125,52004414,-15.7668696,-51.104166,"['establishment', 'point_of_interest', 'school']"
126,26181266,-8.0531139,-34.9273373,"['establishment', 'point_of_interest', 'school']"
127,35114406,-20.8842367,-47.59240579999999,"['establishment', 'point_of_interest', 'university']"
128,43113672,-32.0343089,-52.0921717,"['establishment', 'point_of_interest', 'school']"
129,35137686,-23.4945877,-47.46506369999999,"['establishment', 'point_of_interest', 'school', 'secondary_school', 'university']"
130,35123675,-23.213198,-47.2815954,"['establishment', 'point_of_interest', 'school']"
131,33167370,-22.919953,-43.6786206,"['establishment', 'point_of_interest', 'school']"
132,13059157,-3.1260645,-60.0222916,"['establishment', 'point_of_interest', 'school']"
133,42061318,-26.686522,-53.249302,"['establishment', 'point_of_interest', 'school']"
137,29178584,-12.8833745,-38.3544885,"['establishment', 'point_of_interest', 'school']"
140,33094861,-22.8753591,-43.3407956,"['establishment', 'point_of_interest', 'school']"
142,12091260,-9.978377,-67.83246199999999,"['establishment', 'point_of_interest', 'school']"
143,35140132,-22.8978694,-47.0552619,"['establishment', 'point_of_interest', 'school']"
145,50005405,-20.4470067,-54.5910188,"['establishment', 'point_of_interest', 'school']"
146,33163120,-22.9048349,-43.55481229999999,"['establishment', 'point_of_interest', 'school']"
147,22088814,-7.090922099999999,-40.6165882,"['establishment', 'point_of_interest', 'school']"
148,35005502,-23.2775708,-46.7398458,"['establishment', 'point_of_interest', 'school']"
149,29389631,-17.546492,-39.741215,"['establishment', 'point_of_interest', 'school']"
150,26118742,-8.093029,-34.950136,"['establishment', 'point_of_interest', 'school']"
152,25001744,-6.3490401,-37.7485044,"['establishment', 'point_of_interest', 'school']"
153,17007500,-30.0767469,-51.2155757,"['establishment', 'point_of_interest', 'school']"
154,52066525,-15.8179764,-50.6087622,"['establishment', 'point_of_interest', 'school']"
155,31254291,-20.8571564,-46.39251549999999,"['establishment', 'point_of_interest', 'school']"
156,50006215,-20.4551044,-54.65404,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
157,35166005,-23.519075,-47.4942179,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
158,35022998,-20.9002082,-47.5858764,"['establishment', 'point_of_interest', 'school']"
160,42070880,-20.341755,-40.304627,"['establishment', 'point_of_interest', 'school']"
161,33055998,-23.4996003,-46.4717466,"['establishment', 'point_of_interest', 'school']"
164,43157114,-29.5167461,-50.7771403,"['establishment', 'point_of_interest', 'school']"
165,32003005,-18.183979,-40.717585,"['establishment', 'point_of_interest', 'school']"
166,52026663,-19.7472446,-47.9269754,"['establishment', 'point_of_interest', 'school']"
168,33066523,-22.9277592,-43.208392,"['establishment', 'point_of_interest', 'school']"
169,31364142,-21.2198659,-43.7724012,"['establishment', 'point_of_interest', 'school']"
170,35028927,-20.8301732,-49.39395709999999,"['establishment', 'point_of_interest', 'school']"
171,31001651,-19.904412,-43.902703,"['establishment', 'point_of_interest', 'school']"
173,26075474,-8.8902053,-36.4916261,"['establishment', 'point_of_interest', 'school']"
174,26054140,-8.280956999999999,-35.936736,"['establishment', 'point_of_interest', 'school']"
175,23143282,-6.3662754,-39.3019502,"['establishment', 'point_of_interest', 'school']"
176,32032951,-19.9399523,-40.6092258,"['establishment', 'point_of_interest', 'school']"
178,33084238,-22.9238273,-43.693009,"['establishment', 'point_of_interest', 'school']"
179,35010017,-23.8496264,-46.9436103,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
182,41140834,-25.5252438,-48.5239961,"['establishment', 'point_of_interest', 'school']"
183,23069260,-3.7668466,-38.5552606,"['establishment', 'point_of_interest', 'school']"
185,43153143,-27.3986686,-53.4655171,"['establishment', 'point_of_interest', 'school']"
186,31082490,-21.42151,-45.9490095,"['establishment', 'point_of_interest', 'school']"
187,35111247,-26.276811,-48.8231768,"['establishment', 'point_of_interest', 'university']"
188,35103248,-23.541806,-46.654542,"['establishment', 'point_of_interest', 'school']"
190,35100663,-23.4915684,-46.6330906,"['establishment', 'point_of_interest', 'school']"
191,33090190,-22.8576722,-43.0100854,"['establishment', 'point_of_interest', 'school']"
192,13026089,-3.0317419,-59.99098350000001,"['establishment', 'point_of_interest', 'school']"
193,43071570,-29.5503194,-51.4261996,"['establishment', 'point_of_interest', 'school']"
194,29191467,-29.9949537,-51.126592,"['establishment', 'point_of_interest', 'school']"
195,33106690,-22.9022202,-43.5791321,"['establishment', 'point_of_interest', 'school']"
196,42045525,-27.4924475,-50.97858420000001,"['establishment', 'point_of_interest', 'school']"
197,22028358,-5.058788799999999,-42.8268969,"['establishment', 'point_of_interest', 'school']"
198,17029449,-8.3128929,-48.0406759,"['establishment', 'point_of_interest', 'school']"
199,43064183,-29.9969453,-53.4997822,"['establishment', 'point_of_interest', 'school']"
200,35116385,-20.8295116,-49.3924102,"['establishment', 'point_of_interest', 'school']"
201,31172987,-21.9731415,-45.3506993,"['establishment', 'point_of_interest', 'school']"
202,32063512,-20.3768697,-40.3282276,"['establishment', 'point_of_interest', 'school']"
203,41384709,-25.4948469,-52.5323804,"['establishment', 'point_of_interest', 'school']"
204,43019030,-31.3425956,-54.1051101,"['establishment', 'point_of_interest', 'school']"
205,13026321,-3.0384855,-59.9596466,"['establishment', 'point_of_interest', 'school']"
206,35917680,-22.3471968,-48.7566983,"['establishment', 'point_of_interest', 'school']"
207,33007101,-21.4317887,-42.1004844,"['establishment', 'point_of_interest', 'school']"
208,25153811,-7.1337334,-34.8766729,"['establishment', 'point_of_interest', 'school']"
209,25028103,-7.6279556,-38.5596737,"['establishment', 'point_of_interest', 'school']"
210,31333921,-19.9920119,-43.9289744,"['establishment', 'point_of_interest', 'school']"
211,35016809,-23.5448133,-47.4534993,"['establishment', 'point_of_interest', 'school']"
212,23125012,-4.4711173,-37.7971881,"['establishment', 'point_of_interest', 'school']"
213,31032999,-20.158126,-44.9025969,"['establishment', 'point_of_interest', 'school']"
214,26040948,-8.5973612,-38.5741098,"['establishment', 'point_of_interest', 'school']"
215,35915944,-22.3418945,-47.1723526,"['establishment', 'point_of_interest', 'school']"
216,35905604,-22.8510255,-47.6099222,"['establishment', 'point_of_interest', 'school']"
217,21199365,-6.336235299999999,-47.4007122,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
218,33055343,-22.89399,-43.1153916,"['establishment', 'point_of_interest', 'school']"
219,41076710,-25.5330939,-54.5344162,"['establishment', 'point_of_interest', 'school']"
220,29421403,-23.6432213,-46.6523906,"['establishment', 'point_of_interest', 'school']"
221,15104133,-21.7672068,-43.3485592,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
222,24080187,-22.8832797,-42.0426192,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
223,41015380,-5.516641,-47.488631,"['establishment', 'point_of_interest', 'school']"
226,31069604,-22.0884797,-43.823702,"['establishment', 'point_of_interest', 'school']"
227,35114157,-21.7935197,-48.1773117,"['establishment', 'point_of_interest', 'school']"
229,35159438,-8.035708699999999,-34.9317754,"['establishment', 'point_of_interest', 'school']"
230,29227720,-13.8624016,-40.0749089,"['establishment', 'point_of_interest', 'school']"
231,35000848,-23.4881391,-46.6521748,"['establishment', 'point_of_interest', 'school']"
232,35002859,-23.4926871,-46.407976,"['establishment', 'point_of_interest', 'school']"
233,23070242,-3.7421,-38.535911,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
234,35115307,-23.5482087,-46.4609749,"['establishment', 'point_of_interest', 'school']"
235,35007195,-23.5405965,-46.3642547,"['establishment', 'point_of_interest', 'school']"
236,43113648,-32.0463749,-52.11499269999999,"['establishment', 'point_of_interest', 'school']"
239,31043095,-18.8743902,-41.9632473,"['establishment', 'point_of_interest', 'school']"
240,52020320,-16.2958505,-48.94764989999999,"['establishment', 'point_of_interest', 'school']"
241,42095735,-27.422989,-49.59931,"['establishment', 'point_of_interest', 'school']"
242,35388117,-23.5856616,-46.6512152,"['establishment', 'point_of_interest', 'primary_school', 'school', 'secondary_school']"
243,23078669,-3.7493115,-38.5068436,"['establishment', 'point_of_interest', 'school']"
244,52033554,-16.7514081,-49.2004723,"['establishment', 'point_of_interest', 'school']"
245,43105130,-30.0168933,-51.2060592,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
246,33014116,-21.3178697,-41.0317533,"['establishment', 'point_of_interest', 'school']"
247,26120968,-8.0454471,-34.959209,"['establishment', 'point_of_interest', 'school']"
248,35009210,-23.710921,-46.550656,"['establishment', 'point_of_interest', 'school']"
249,23045493,-3.7910019,-39.2732255,"['establishment', 'point_of_interest', 'school']"
250,35101904,-23.549016,-46.557131,"['establishment', 'point_of_interest', 'primary_school', 'school', 'secondary_school']"
251,33089825,-22.810889,-43.038336,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
252,52091295,-16.7117253,-49.2990619,"['establishment', 'point_of_interest', 'school']"
253,32038178,-20.3418937,-40.2955,"['establishment', 'point_of_interest', 'school']"
254,42106478,-27.5951193,-48.6160977,"['establishment', 'point_of_interest', 'school']"
255,24005681,-5.659110099999999,-37.7973414,"['establishment', 'point_of_interest', 'school']"
256,11008008,-9.4277309,-62.0060033,"['establishment', 'premise', 'school']"
257,43174540,-31.3026706,-54.1101068,"['establishment', 'point_of_interest', 'school']"
258,41025954,-23.5790597,-46.66277729999999,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
259,33018820,-21.9838944,-42.376868,"['establishment', 'point_of_interest', 'school']"
260,33046751,-22.7251774,-43.404929,"['establishment', 'point_of_interest', 'school']"
262,35138769,-22.9186838,-47.044051,"['establishment', 'point_of_interest', 'school']"
263,35009180,-23.6641932,-46.56187509999999,"['establishment', 'point_of_interest', 'school']"
264,42057841,-26.7193904,-52.8605171,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
265,29125898,-23.4856285,-46.6397672,"['establishment', 'point_of_interest', 'school']"
266,32052120,-20.8490703,-41.1094649,"['establishment', 'point_of_interest', 'school']"
267,31006998,-19.9067452,-43.93038,"['establishment', 'point_of_interest', 'school']"
268,35109228,-23.6157997,-46.5685938,"['establishment', 'point_of_interest', 'school']"
269,42070732,-27.1372228,-48.5960323,"['establishment', 'point_of_interest', 'school']"
271,22074279,-10.442984,-45.163847,"['establishment', 'point_of_interest', 'school']"
272,29370485,-12.0878137,-45.798888,"['establishment', 'point_of_interest', 'school', 'university']"
273,33092265,-22.7810554,-43.37699569999999,"['establishment', 'point_of_interest', 'school']"
274,32005601,-18.5381522,-40.2730895,"['establishment', 'point_of_interest', 'school']"
275,35124436,-23.5145604,-46.4402917,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
277,31043737,-18.570657,-41.2342363,"['establishment', 'point_of_interest', 'school']"
278,33444315,-22.9076633,-43.06528549999999,"['establishment', 'point_of_interest', 'school']"
279,50009672,-19.4439912,-54.9888657,"['establishment', 'point_of_interest', 'school']"
282,31024538,-17.081606,-42.692146,"['establishment', 'point_of_interest', 'school']"
284,50025767,-20.4360827,-54.5752106,"['establishment', 'point_of_interest', 'school']"
285,33055866,-22.8997654,-43.1290693,"['establishment', 'point_of_interest', 'school']"
286,52034216,-16.7259134,-49.32063249999999,"['establishment', 'point_of_interest', 'school']"
287,31009571,-19.9882024,-43.8457328,"['establishment', 'point_of_interest', 'school']"
288,23116951,-5.741862999999999,-39.6258266,"['establishment', 'point_of_interest', 'school']"
290,35106999,-22.8971856,-43.1798908,"['establishment', 'point_of_interest', 'school']"
291,35138836,-22.7489337,-47.636386,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
292,52053377,-16.7413245,-49.2728984,"['establishment', 'point_of_interest', 'school']"
293,43148182,-29.3442287,-52.9792127,"['establishment', 'point_of_interest', 'school']"
294,26135490,-7.9977065,-34.8434695,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
295,31103497,-19.8422931,-43.1788835,"['establishment', 'point_of_interest', 'school']"
297,31140830,-21.7578615,-43.3819041,"['establishment', 'point_of_interest', 'school']"
298,35008643,-23.6338,-46.5205,"['establishment', 'point_of_interest', 'school']"
299,31034860,-19.449803,-44.746087,"['establishment', 'point_of_interest', 'school']"
300,31322628,-19.7913273,-44.0281015,"['establishment', 'point_of_interest', 'school']"
301,35917643,-21.2676208,-50.3362031,"['establishment', 'point_of_interest', 'school']"
302,32043546,-20.6217422,-40.4676417,"['establishment', 'point_of_interest', 'school']"
304,31070157,-21.537709,-43.00644,"['establishment', 'point_of_interest', 'school']"
305,52020231,-15.6686536,-49.6881019,"['establishment', 'point_of_interest', 'school']"
306,26035316,-9.389558,-40.54542199999999,"['establishment', 'point_of_interest', 'school']"
307,26163888,-8.4428697,-35.0170959,"['establishment', 'point_of_interest', 'school']"
308,32040083,-20.316144,-40.32314299999999,"['establishment', 'point_of_interest', 'primary_school', 'school', 'secondary_school']"
310,31115789,-19.8871125,-43.8564472,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
311,29357861,-12.9973023,-38.4494504,"['establishment', 'point_of_interest', 'school']"
312,33002312,-21.099309,-42.11399490000001,"['establishment', 'point_of_interest', 'school']"
313,32035098,-20.3447241,-40.3653564,"['establishment', 'point_of_interest', 'school']"
314,35025773,-21.9835609,-48.8026115,"['establishment', 'point_of_interest', 'school']"
315,32038496,-20.3726114,-40.3075413,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
316,23041510,-3.5589148,-38.8312578,"['establishment', 'point_of_interest', 'school']"
318,31068373,-21.7422042,-43.3532416,"['establishment', 'point_of_interest', 'school']"
319,23135905,-5.879874099999999,-38.61703850000001,"['establishment', 'point_of_interest', 'school']"
320,35412041,-22.661423,-50.405519,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
321,28072430,-10.9448676,-37.0625114,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
322,52061310,-17.5197433,-49.448958,"['establishment', 'point_of_interest', 'school']"
323,31355518,-17.7435866,-46.1764381,"['establishment', 'point_of_interest', 'school']"
324,28032497,-20.4522768,-54.6114552,"['establishment', 'point_of_interest', 'school']"
325,35133097,-22.9217243,-45.4601722,"['establishment', 'point_of_interest', 'school']"
326,50040200,-20.7826682,-51.7057673,"['establishment', 'point_of_interest', 'primary_school', 'school', 'secondary_school']"
327,42086272,-26.3973335,-52.73011930000001,"['establishment', 'point_of_interest', 'school']"
328,50015257,-20.7951513,-51.71687360000001,"['establishment', 'point_of_interest', 'school']"
329,33058067,-22.760819,-43.39990299999999,"['establishment', 'point_of_interest', 'school', 'university']"
330,31002453,-19.8069306,-43.9671415,"['establishment', 'point_of_interest', 'school']"
331,32037350,-20.1845779,-40.269428,"['establishment', 'point_of_interest', 'school']"
332,52033538,-16.6725061,-49.3042252,"['establishment', 'point_of_interest', 'school']"
333,21096058,-5.5283836,-47.4908453,"['establishment', 'point_of_interest', 'school']"
334,33126160,-22.8613982,-43.25855600000001,"['establishment', 'point_of_interest', 'school']"
335,41067738,-25.515283,-49.27682249999999,"['establishment', 'point_of_interest', 'school']"
336,32012438,-19.2516557,-40.4626921,"['establishment', 'point_of_interest', 'school']"
339,43115136,-7.8610459,-35.5889694,"['establishment', 'point_of_interest', 'school']"
340,35184962,-21.5959345,-46.8811073,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
341,35120509,-22.845033,-43.338004,"['establishment', 'point_of_interest', 'school']"
343,35141501,-23.6555332,-46.6012589,"['establishment', 'point_of_interest', 'primary_school', 'school', 'secondary_school']"
344,16007654,1.673085,-53.461923,"['establishment', 'point_of_interest', 'school']"
346,28018516,-10.9167704,-37.0493316,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
347,50018035,-21.6225301,-55.1530074,"['establishment', 'point_of_interest', 'school']"
348,22134050,-17.8582876,-42.8584672,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
349,51038536,-15.5921357,-56.0986103,"['establishment', 'point_of_interest', 'university']"
351,43125514,-30.8932024,-55.5354146,"['establishment', 'point_of_interest', 'school']"
352,52035352,-16.6457167,-49.3899602,"['establishment', 'point_of_interest', 'school']"
353,32011717,-19.2528948,-40.4623943,"['establishment', 'point_of_interest', 'school']"
354,41076877,-25.5536684,-54.5639796,"['establishment', 'point_of_interest', 'primary_school', 'school', 'secondary_school']"
355,35013560,-23.2308723,-45.88818209999999,"['establishment', 'point_of_interest', 'school']"
357,43128084,-29.192564,-54.87014000000001,"['establishment', 'point_of_interest', 'school']"
358,41009169,-18.890312,-48.264725,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
359,24059110,-5.7882761,-35.207484,"['establishment', 'point_of_interest', 'school', 'university']"
360,31115207,-20.46174,-45.431056,"['establishment', 'point_of_interest', 'school']"
361,29449723,-12.9366484,-38.3641532,"['establishment', 'point_of_interest', 'school']"
362,35008382,-23.676793,-46.548398,"['establishment', 'point_of_interest', 'school']"
364,41082389,-24.888583,-52.198254,"['establishment', 'point_of_interest', 'school']"
