school_id,landsat_prob_fail,static_prob_fail,intervention,h50_fail_pred,h140_fail_pred,h230_fail_pred,h330_fail_pred
106627,60.66500473022461,24.82825469970703,0,23.949033737182614,20.32376289367676,32.892440795898445,25.6712589263916
107675,36.47377014160156,28.23303031921387,0,31.92658996582031,27.229949951171875,39.91514587402344,21.209304809570312
104699,29.39710998535156,36.07292938232422,0,-1.0,-1.0,-1.0,-1.0
104818,25.26182746887207,29.505390167236328,0,50.03673553466797,54.00444793701172,55.73219680786133,56.52166748046875
105492,38.12909698486328,24.835004806518555,0,-1.0,-1.0,-1.0,-1.0
106827,24.42147445678711,4.216881275177002,0,26.688825607299805,20.509767532348636,24.75970268249512,14.939583778381348
108726,60.57308959960938,39.61202621459961,0,-1.0,-1.0,-1.0,-1.0
105519,2.0804085731506348,9.342059135437012,0,-1.0,-1.0,-1.0,-1.0
104503,33.45480728149414,13.298447608947756,0,30.31716728210449,23.32853126525879,21.406538009643555,22.767148971557614
106126,26.560014724731445,9.617002487182617,0,28.05845642089844,27.70746994018555,27.91271209716797,15.321843147277832
104530,26.956409454345703,41.39050674438477,0,78.24583435058594,39.92448425292969,38.81169128417969,58.45734024047852
105030,3.335457324981689,4.740525722503662,0,19.82539939880371,18.252185821533203,14.338358879089355,35.999027252197266
105789,20.11360740661621,14.800824165344238,0,23.965665817260746,29.08317375183105,35.43709945678711,27.78513336181641
159515,5.888411998748778,20.211671829223636,0,-1.0,-1.0,-1.0,-1.0
106874,5.9604859352111825,15.926359176635742,0,-1.0,-1.0,-1.0,-1.0
106181,25.266563415527344,11.465895652770994,0,69.73339080810547,63.05357360839844,29.6503849029541,45.65222549438477
107641,17.526006698608402,31.98579025268555,0,47.2362060546875,38.162986755371094,37.33824920654297,33.712093353271484
105365,20.687021255493164,38.79597854614258,0,-1.0,-1.0,-1.0,-1.0
105748,3.7679712772369385,9.831127166748047,0,-1.0,-1.0,-1.0,-1.0
105745,9.369511604309082,14.64414119720459,0,38.5667724609375,24.65081596374512,40.25358963012695,36.13475036621094
105446,5.256549835205078,25.046098709106445,0,30.75434494018555,12.832792282104492,38.83490753173828,15.751769065856935
108868,93.2503890991211,67.29086303710939,0,44.33390808105469,50.83470153808594,19.847013473510746,22.92480278015137
106238,9.08627986907959,13.045340538024902,0,25.392717361450195,17.259143829345707,36.33810424804688,22.65705680847168
105712,2.029076337814331,15.12906265258789,0,-1.0,-1.0,-1.0,-1.0
104949,19.14143943786621,24.03511047363281,0,-1.0,-1.0,-1.0,-1.0
107496,24.720985412597656,11.128155708312988,0,30.55352020263672,36.20752716064453,7.56170654296875,42.82979202270508
