,school_id,latitude,longitude,region,division,province,municipality,district
4461,106988,15.708752,119.954521,Region III,Zambales,Zambales,Santa Cruz,Sta. Cruz South
4462,104700,14.760374,120.506546,Region III,Bataan,Bataan,Samal,Samal
4463,160502,15.327886,120.014549,Region III,Zambales,Zambales,Iba (Capital),Iba
4464,105745,15.365771,120.933228,Region III,Nueva Ecija,Nueva Ecija,San Leonardo,San Leonardo
4465,105746,15.436431,120.86741599999999,Region III,Nueva Ecija,Nueva Ecija,Santa Rosa,Sta. Rosa
4466,106558,15.66764233,120.5126274,Region III,Tarlac,Tarlac,Paniqui,Paniqui North
4467,105635,15.67902,121.083832,Region III,Nueva Ecija,Nueva Ecija,Rizal,Rizal
4468,106942,14.97788179,120.2849578,Region III,Zambales,Zambales,San Marcelino,San Marcelino
4469,105636,15.682577,121.06868,Region III,Nueva Ecija,Nueva Ecija,Rizal,Rizal
4470,104419,16.23638889,122.17416670000001,Region III,Aurora,Aurora,Casiguran,Casiguran
4471,105512,15.813697,120.889202,Region III,Nueva Ecija,Nueva Ecija,Lupao,Lupao
4472,105513,15.831792,120.884859,Region III,Nueva Ecija,Nueva Ecija,Lupao,Lupao
4473,106626,15.495946,120.3512,Region III,Tarlac,Tarlac,San Jose,San Jose
4474,107001,14.8968,120.23700000000001,Region III,Zambales,Zambales,Subic,Subic
4475,160516,14.861655,120.193748,Region III,Zambales,Zambales,Subic,Subic
4476,105048,15.0484455,121.071699,Region III,Bulacan,Bulacan,San Ildefonso,San Ildefonso South
4477,105049,15.0504955,121.0453716,Region III,Bulacan,Bulacan,San Ildefonso,San Ildefonso South
4478,105514,15.847435,120.886402,Region III,Nueva Ecija,Nueva Ecija,Lupao,Lupao
4479,105515,15.847208,120.87293799999999,Region III,Nueva Ecija,Nueva Ecija,Lupao,Lupao
4480,104622,14.53587683,120.59054270000001,Region III,Bataan,Bataan,Limay,Limay
4481,107177,15.051854,120.650857,Region III,San Fernando City,Pampanga,City Of San Fernando (Capital),San Fernando North
4482,104636,14.46102088,120.5330902,Region III,Bataan,Bataan,Mariveles,Mariveles
4483,104688,14.6456,120.539,Region III,Bataan,Bataan,Pilar,Pilar
4485,106143,14.870718,120.71476899999999,Region III,Pampanga,Pampanga,Masantol,Masantol
4486,107038,15.159049,120.56213000000001,Region III,Angeles City,Pampanga,Angeles City,West District
4487,106427,15.329759,120.63891100000001,Region III,Tarlac,Tarlac,Concepcion,Concepcion West
4488,105171,15.503127,120.847228,Region III,Nueva Ecija,Nueva Ecija,Aliaga,Aliaga
4489,104658,14.790163,120.519806,Region III,Bataan,Bataan,Orani,Orani
4490,104604,14.83545596,120.5160217,Region III,Bataan,Bataan,Hermosa,Hermosa
4491,106974,15.793018,119.94731100000001,Region III,Zambales,Zambales,Santa Cruz,Sta. Cruz North
4492,106418,15.275284,120.695908,Region III,Tarlac,Tarlac,Concepcion,Concepcion South
4493,105679,15.309736,120.894038,Region III,Nueva Ecija,Nueva Ecija,San Isidro,San Isidro
4494,105833,15.784025,120.833653,Region III,Nueva Ecija,Nueva Ecija,Talugtug,Talugtug
4495,160001,15.28716571,120.2941132,Region III,Tarlac,Tarlac,Capas,Capas West
4496,106959,15.02454615,120.0792511,Region III,Zambales,Zambales,San Narciso,San Narciso
4497,106709,15.548884,120.607077,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac North
4498,106710,15.532167,120.59423799999999,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac North
4499,106903,15.41578183,119.9133407,Region III,Zambales,Zambales,Palauig,Palauig
4500,105566,15.733971,120.64154599999999,Region III,Nueva Ecija,Nueva Ecija,Nampicuan,Nampicuan
4501,106462,15.57979354,120.61172959999999,Region III,Tarlac,Tarlac,Gerona,Gerona South
4502,105333,15.236554,120.99325800000001,Region III,Gapan City,Nueva Ecija,City Of Gapan,Gapan South
4504,162002,14.850901,120.325001,Region III,Olongapo City,Zambales,Olongapo City,Olongapo City District I
4505,106697,15.468589,120.68297199999999,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac East
4506,106869,15.36079994,119.95984140000002,Region III,Zambales,Zambales,Iba (Capital),Iba
4507,106163,15.143117,120.69207,Region III,Pampanga,Pampanga,Mexico,Mexico North
4508,105897,15.148854,120.7710418,Region III,Pampanga,Pampanga,Arayat,Arayat West
4509,106920,14.937285,120.14753700000001,Region III,Zambales,Zambales,San Antonio,San Antonio
4510,107023,15.13434602,120.5957108,Region III,Angeles City,Pampanga,Angeles City,East District
4511,106367,15.350979,120.457376,Region III,Tarlac,Tarlac,Capas,Capas East
4512,104883,14.842475,120.797676,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),South District
4513,160506,14.928562,120.245026,Region III,Zambales,Zambales,Subic,Subic
4514,107002,14.917921,120.227176,Region III,Zambales,Zambales,Subic,Subic
4515,106355,15.64717202,120.3883553,Region III,Tarlac,Tarlac,Camiling,Camiling West
4516,105963,14.917272,120.494514,Region III,Pampanga,Pampanga,Floridablanca,Floridablanca East
4517,106823,15.126374,120.05713600000001,Region III,Zambales,Zambales,Cabangan,Cabangan
4518,160505,15.43416163,119.9227018,Region III,Zambales,Zambales,Palauig,Palauig
4519,105194,15.617485,121.189322,Region III,Nueva Ecija,Nueva Ecija,Bongabon,Bongabon
4520,106310,15.29370631,120.5629027,Region III,Tarlac,Tarlac,Bamban,Bamban
4521,105028,15.10085931,120.94049059999999,Region III,Bulacan,Bulacan,San Ildefonso,San Ildefonso North
4522,106751,15.445384,120.57201299999998,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac West
4523,105978,14.97859167,120.48010829999998,Region III,Pampanga,Pampanga,Floridablanca,Floridablanca West
4524,106824,15.18150056,120.04534009999999,Region III,Zambales,Zambales,Cabangan,Cabangan
4525,105359,15.626847,121.06261,Region III,Nueva Ecija,Nueva Ecija,General Mamerto Natividad,Gen. M. Natividad
4526,106444,15.617109,120.58505500000001,Region III,Tarlac,Tarlac,Gerona,Gerona North
4527,104939,14.861816,121.0951,Region III,Bulacan,Bulacan,Norzagaray,Norzagaray
4528,106559,15.68313963,120.58132409999999,Region III,Tarlac,Tarlac,Paniqui,Paniqui North
4529,107052,15.1388736,120.56809879999999,Region III,Angeles City,Pampanga,Angeles City,South District
4530,106379,15.35585768,120.5273902,Region III,Tarlac,Tarlac,Capas,Capas West
4531,105898,15.15090384,120.7756688,Region III,Pampanga,Pampanga,Arayat,Arayat West
4532,107166,15.034452,120.707024,Region III,San Fernando City,Pampanga,City Of San Fernando (Capital),San Fernando East
4533,105899,15.16814134,120.684192,Region III,Pampanga,Pampanga,Arayat,Arayat West
4534,106825,15.183161,120.038155,Region III,Zambales,Zambales,Cabangan,Cabangan
4535,105195,15.666807,121.163074,Region III,Nueva Ecija,Nueva Ecija,Bongabon,Bongabon
4536,105516,15.872313,120.906287,Region III,Nueva Ecija,Nueva Ecija,Lupao,Lupao
4537,106526,15.77027801,120.58209120000001,Region III,Tarlac,Tarlac,Moncada,Moncada North
4538,104623,14.508321,120.58795900000001,Region III,Bataan,Bataan,Limay,Limay
4539,104803,14.922761,120.768906,Region III,Bulacan,Bulacan,Calumpit,Calumpit
4540,106005,15.01014219,120.5350999,Region III,Pampanga,Pampanga,Guagua,Guagua West
4541,107137,14.82658629,120.2878338,Region III,Olongapo City,Zambales,Olongapo City,Olongapo City District IV
4542,106729,15.448152,120.66713700000001,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac South
4543,104704,14.78172569,120.50366499999998,Region III,Bataan,Bataan,Samal,Samal
4544,105574,15.560759,121.100397,Region III,Nueva Ecija,Nueva Ecija,Palayan City (Capital),Palayan City
4548,106061,15.235279,120.58210520000002,Region III,Mabalacat City,Pampanga,Mabalacat,Mabalacat North
4549,105575,15.520598,121.09421100000002,Region III,Nueva Ecija,Nueva Ecija,Palayan City (Capital),Palayan City
4550,106426,15.316623,120.66059399999999,Region III,Tarlac,Tarlac,Concepcion,Concepcion South
4551,106117,15.23317,120.70421200000001,Region III,Pampanga,Pampanga,Magalang,Magalang South
4552,106463,15.57967986,120.57286440000001,Region III,Tarlac,Tarlac,Gerona,Gerona South
4553,105346,15.610362,121.105705,Region III,Nueva Ecija,Nueva Ecija,General Mamerto Natividad,Gen. M. Natividad
4554,104725,14.940576,121.02961,Region III,Bulacan,Bulacan,Angat,Angat
4555,106839,15.61754712,119.94864309999998,Region III,Zambales,Zambales,Candelaria,Candelaria
4556,106212,15.075977,120.532605,Region III,Pampanga,Pampanga,Porac,Porac East
4557,106213,15.068277,120.54274699999999,Region III,Pampanga,Pampanga,Porac,Porac East
4558,106975,15.812911,119.97953000000001,Region III,Zambales,Zambales,Santa Cruz,Sta. Cruz North
4559,106328,15.730469,120.4317,Region III,Tarlac,Tarlac,Camiling,Camiling Central
4560,105404,15.662382,120.753468,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba West
4561,159501,14.997272,120.65219099999999,Region III,Pampanga,Pampanga,Bacolor,Bacolor
4562,105911,15.082827,120.66219299999999,Region III,Pampanga,Pampanga,City Of San Fernando (Capital),Bacolor
4563,159502,15.221283,120.608772,Region III,Pampanga,Pampanga,Bacolor,Bacolor
4564,104605,14.85252602,120.4375131,Region III,Bataan,Bataan,Hermosa,Hermosa
4565,104624,14.568777,120.59548999999998,Region III,Bataan,Bataan,Limay,Limay
4566,104513,15.7387,121.5212,Region III,Aurora,Aurora,San Luis,San Luis
4567,106356,15.64399772,120.3421676,Region III,Tarlac,Tarlac,Camiling,Camiling West
4568,106752,15.507439,120.57037,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac West
4569,104541,14.59431407,120.3921256,Region III,Bataan,Bataan,Bagac,Bagac
4570,106144,14.84691546,120.6974568,Region III,Pampanga,Pampanga,Masantol,Masantol
4571,104915,14.818823,120.95543899999998,Region III,Meycauayan City,Bulacan,City Of Meycauayan,Meycauayan East
4572,104969,14.885214,120.920143,Region III,Bulacan,Bulacan,Pandi,Pandi
4573,105140,14.81745987,120.9568822,Region III,Bulacan,Bulacan,Santa Maria,Sta. Maria
4574,104886,14.827003,120.821269,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),South District
4575,105365,15.409606,121.09101799999999,Region III,Nueva Ecija,Nueva Ecija,General Tinio (Papaya),Gen. Tinio
4576,104970,14.891912,120.954044,Region III,Bulacan,Bulacan,Pandi,Pandi
4577,105405,15.673082,120.70716399999999,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba West
4578,106753,15.511805,120.530846,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac West
4579,105142,14.85714879,121.0224593,Region III,Bulacan,Bulacan,Santa Maria,Sta. Maria
4580,105050,15.01184,120.98772,Region III,Bulacan,Bulacan,San Ildefonso,San Ildefonso South
4581,107142,14.846887,121.074455,Region III,San Jose del Monte City,Bulacan,City Of San Jose Del Monte,San Jose Del Monte East
4582,107143,14.85418535,121.05877609999999,Region III,San Jose del Monte City,Bulacan,City Of San Jose Del Monte,San Jose Del Monte East
4583,107144,14.84390404,121.0497003,Region III,San Jose del Monte City,Bulacan,City Of San Jose Del Monte,San Jose Del Monte East
4584,107093,15.502261,121.062844,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City South District
4585,105577,15.462196,121.11629199999999,Region III,Nueva Ecija,Nueva Ecija,Palayan City (Capital),Palayan City
4586,107145,14.848155,121.05862659999998,Region III,San Jose del Monte City,Bulacan,City Of San Jose Del Monte,San Jose Del Monte East
4587,107146,14.84833333,121.06416670000002,Region III,San Jose del Monte City,Bulacan,City Of San Jose Del Monte,San Jose Del Monte East
4588,107147,14.855485,121.07158700000001,Region III,San Jose del Monte City,Bulacan,City Of San Jose Del Monte,San Jose Del Monte East
4589,105517,15.888104,120.900048,Region III,Nueva Ecija,Nueva Ecija,Lupao,Lupao
4591,107094,15.520928,121.02360300000001,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City South District
4592,105214,15.248368,120.82432299999999,Region III,Nueva Ecija,Nueva Ecija,Cabiao,Cabiao
4593,105298,15.480555,121.30828100000001,Region III,Nueva Ecija,Nueva Ecija,Gabaldon (Bitulok & Sabani),Gabaldon
4594,105533,15.737581,120.92263600000001,Region III,Munoz Science City,Nueva Ecija,Science City Of Muñoz,Munoz
4595,105691,15.738431,121.037853,Region III,San Jose City,Nueva Ecija,San Jose City,San Jose City East
4596,105809,15.586298,120.97703200000001,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera South
4597,105092,15.17019969,120.9305128,Region III,Bulacan,Bulacan,San Miguel,San Miguel South
4598,104551,14.674044,120.508641,Region III,Balanga City,Bataan,City Of Balanga (Capital),Balanga City West
4599,105215,15.255207,120.85068100000001,Region III,Nueva Ecija,Nueva Ecija,Cabiao,Cabiao
4600,105314,15.272904,120.99330900000001,Region III,Gapan City,Nueva Ecija,City Of Gapan,Gapan North
4601,105789,15.634915,120.90021899999999,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera North
4602,105299,15.554976,121.24888600000001,Region III,Nueva Ecija,Nueva Ecija,Gabaldon (Bitulok & Sabani),Gabaldon
4603,104484,15.77861111,121.50416670000001,Region III,Aurora,Aurora,Maria Aurora,Ma. Aurora
4604,104689,14.66743842,120.5640415,Region III,Bataan,Bataan,Pilar,Pilar
4605,158522,14.764186,120.898895,Region III,Bulacan,Bulacan,Bulacan,Bulacan
4606,104916,14.767204,121.010529,Region III,Meycauayan City,Bulacan,City Of Meycauayan,Meycauayan East
4607,105929,15.0292368,120.883762,Region III,Pampanga,Pampanga,Candaba,Candaba East
4609,105790,15.687209,120.892664,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera North
4610,105791,15.69757,120.89884199999999,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera North
4611,105792,15.703382,120.899199,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera North
4612,107095,15.513119,121.02360800000001,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City South District
4613,107096,15.473142,121.02091899999999,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City South District
4614,105692,15.797243,121.03735800000001,Region III,San Jose City,Nueva Ecija,San Jose City,San Jose City East
4615,104728,14.8176549,120.9053958,Region III,Bulacan,Bulacan,Balagtas (Bigaa),Balagtas
4616,104552,14.6815995,120.5452752,Region III,Balanga City,Bataan,City Of Balanga (Capital),Balanga City East
4617,106297,15.001438,120.727127,Region III,Pampanga,Pampanga,Santo Tomas,Sto. Tomas
4618,105347,15.597422,121.04073000000001,Region III,Nueva Ecija,Nueva Ecija,General Mamerto Natividad,Gen. M. Natividad
4619,106495,15.42555094,120.72386740000002,Region III,Tarlac,Tarlac,La Paz,La Paz South
4620,106041,14.89734913,120.56041119999999,Region III,Pampanga,Pampanga,Lubao,Lubao West
4622,106754,15.464233,120.550164,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac West
4623,106560,15.66487899,120.5121553,Region III,Tarlac,Tarlac,Paniqui,Paniqui North
4624,105093,15.138364,121.025723,Region III,Bulacan,Bulacan,San Miguel,San Miguel South
4625,105912,15.082965,120.66289499999999,Region III,Pampanga,Pampanga,Bacolor,Bacolor
4626,106164,15.08364444,120.71547340000002,Region III,Pampanga,Pampanga,Mexico,Mexico North
4627,105141,14.84903742,121.0034805,Region III,Bulacan,Bulacan,Santa Maria,Sta. Maria
4628,105023,14.941592,120.84433,Region III,Bulacan,Bulacan,Pulilan,Pulilan
4629,105015,14.93150388,120.84372659999998,Region III,Bulacan,Bulacan,Pulilan,Pulilan
4630,106784,15.54803536,120.69459920000001,Region III,Tarlac,Tarlac,Victoria,Victoria West
4631,106854,14.90791671,120.2000413,Region III,Zambales,Zambales,Castillejos,Castillejos
4632,106855,14.893597,120.20108,Region III,Zambales,Zambales,Castillejos,Castillejos
4633,104887,14.82817,120.829697,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),South District
4634,106785,15.60646291,120.65357209999999,Region III,Tarlac,Tarlac,Victoria,Victoria West
4635,105518,15.840009,120.93551299999999,Region III,Nueva Ecija,Nueva Ecija,Lupao,Lupao
4636,104409,15.76,121.5645,Region III,Aurora,Aurora,Baler  (Capital),Baler
4637,106731,15.440208,120.63028999999999,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac South
4638,106145,14.852446,120.67751899999999,Region III,Pampanga,Pampanga,Masantol,Masantol
4639,107125,14.8574983,120.294271,Region III,Olongapo City,Zambales,Olongapo City,Olongapo City District II
4640,159520,15.071395,120.54183300000001,Region III,Pampanga,Pampanga,Porac,Porac East
4641,106931,15.046478,120.126818,Region III,Zambales,Zambales,San Felipe,San Felipe
4642,106698,15.483129,120.686172,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac East
4643,106699,15.485023,120.67974299999999,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac East
4644,105406,15.625483,120.743936,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba West
4645,105407,15.619296,120.736126,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba West
4646,104796,14.898802,120.785973,Region III,Bulacan,Bulacan,Calumpit,Calumpit
4647,104862,14.82972,120.83706299999999,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),North District
4648,105094,15.17487462,120.96384350000001,Region III,Bulacan,Bulacan,San Miguel,San Miguel South
4649,105900,15.190979,120.68818200000001,Region III,Pampanga,Pampanga,Arayat,Arayat West
4650,106118,15.25677222,120.7129611,Region III,Pampanga,Pampanga,Magalang,Magalang North
4651,104737,14.9583509,120.89873970000001,Region III,Bulacan,Bulacan,Baliuag,Baliuag North
4652,104750,14.95620595,120.8966182,Region III,Bulacan,Bulacan,Baliuag,Baliuag South
4653,106943,15.028401,120.225578,Region III,Zambales,Zambales,San Marcelino,San Marcelino
4654,105637,15.639929,121.097249,Region III,Nueva Ecija,Nueva Ecija,Rizal,Rizal
4655,106615,15.68157988,120.3472048,Region III,Tarlac,Tarlac,San Clemente,San Clemente
4656,105768,15.640054,120.890625,Region III,Nueva Ecija,Nueva Ecija,Santo Domingo,Sto. Domingo
4657,104637,14.43643973,120.4733574,Region III,Bataan,Bataan,Mariveles,Mariveles
4658,105255,15.803467,120.774755,Region III,Nueva Ecija,Nueva Ecija,Cuyapo,Cuyapo
4659,104606,14.86359619,120.49004620000001,Region III,Bataan,Bataan,Hermosa,Hermosa
4660,106561,15.67185443,120.58078770000002,Region III,Tarlac,Tarlac,Paniqui,Paniqui North
4661,105235,15.966187,121.05086599999998,Region III,Nueva Ecija,Nueva Ecija,Carranglan,Carranglan
4662,106214,15.0339142,120.54704740000001,Region III,Pampanga,Pampanga,Porac,Porac West
4663,105867,14.9640472,120.8370255,Region III,Pampanga,Pampanga,Apalit,Apalit
4664,104690,14.6866093,120.55879669999999,Region III,Bataan,Bataan,Pilar,Pilar
4665,106419,15.303188,120.69501799999999,Region III,Tarlac,Tarlac,Concepcion,Concepcion South
4666,106312,15.279924,120.56830500000001,Region III,Tarlac,Tarlac,Bamban,Bamban
4667,104607,14.84321495,120.4248392,Region III,Bataan,Bataan,Hermosa,Hermosa
4668,106616,15.67866436,120.33392250000001,Region III,Tarlac,Tarlac,San Clemente,San Clemente
4669,106885,15.508229,119.969528,Region III,Zambales,Zambales,Masinloc,Masinloc
4670,106313,15.276081,120.56584199999999,Region III,Tarlac,Tarlac,Bamban,Bamban
4671,105256,15.742136,120.71956999999999,Region III,Nueva Ecija,Nueva Ecija,Cuyapo,Cuyapo
4672,104761,14.78835121,120.92858729999999,Region III,Bulacan,Bulacan,Bocaue,Bocaue
4673,104772,14.7760287,120.88181200000001,Region III,Bulacan,Bulacan,Bulacan,Bulacan
4674,105953,15.091723,120.81821399999998,Region III,Pampanga,Pampanga,Candaba,Candaba West
4675,106314,15.28245159,120.5241233,Region III,Tarlac,Tarlac,Bamban,Bamban
4676,106713,15.518378,120.628004,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac North
4677,104711,14.93945074,121.04607040000002,Region III,Bulacan,Bulacan,Angat,Angat
4678,105868,14.95351895,120.8234115,Region III,Pampanga,Pampanga,Apalit,Apalit
4679,104940,14.886878,121.105324,Region III,Bulacan,Bulacan,Norzagaray,Norzagaray
4680,106541,15.740731,120.543602,Region III,Tarlac,Tarlac,Moncada,Moncada South
4681,106542,15.733399,120.543323,Region III,Tarlac,Tarlac,Moncada,Moncada South
4682,104542,14.62011639,120.3867506,Region III,Bataan,Bataan,Bagac,Bagac
4684,105995,14.961204,120.633423,Region III,Pampanga,Pampanga,Guagua,Guagua East
4685,104918,14.720495,120.96174599999999,Region III,Meycauayan City,Bulacan,City Of Meycauayan,Meycauayan East
4686,106042,14.83182,120.600582,Region III,Pampanga,Pampanga,Lubao,Lubao West
4687,106043,14.85593,120.594734,Region III,Pampanga,Pampanga,Lubao,Lubao West
4688,106338,15.671692,120.450781,Region III,Tarlac,Tarlac,Camiling,Camiling East
4689,104930,14.72747734,120.96061040000001,Region III,Meycauayan City,Bulacan,City Of Meycauayan,Meycauayan West
4690,105000,14.886832,120.87097800000001,Region III,Bulacan,Bulacan,Plaridel,Plaridel
4691,104570,14.878096,120.455017,Region III,Bataan,Bataan,Dinalupihan,Dinalupihan West
4692,107118,14.8781,120.455,Region III,Olongapo City,Zambales,Olongapo City,Olongapo City District I
4693,106813,15.27504495,120.0107828,Region III,Zambales,Zambales,Botolan,Botolan South
4694,106870,15.349205,119.967102,Region III,Zambales,Zambales,Iba (Capital),Iba
4695,106775,15.59592268,120.666275,Region III,Tarlac,Tarlac,Victoria,Victoria East
4696,106976,15.776932,119.930939,Region III,Zambales,Zambales,Santa Cruz,Sta. Cruz North
4697,104941,14.926312,121.10018899999999,Region III,Bulacan,Bulacan,Norzagaray,Norzagaray
4698,104531,14.738261,120.446251,Region III,Bataan,Bataan,Abucay,Abucay
4699,240001,14.10994,121.063759,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),South District
4700,158004,14.736176,120.45675700000001,Region III,Bataan,Bataan,Abucay,Abucay
4701,104553,14.66135,120.50775900000001,Region III,Balanga City,Bataan,City Of Balanga (Capital),Balanga City West
4702,106886,15.582716,119.930603,Region III,Zambales,Zambales,Masinloc,Masinloc
4703,106887,15.574414,119.94738000000001,Region III,Zambales,Zambales,Masinloc,Masinloc
4704,107131,14.82708232,120.2772688,Region III,Olongapo City,Zambales,Olongapo City,Olongapo City District III
4705,105408,15.630086,120.75678300000001,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba West
4706,104674,14.621228,120.5839237,Region III,Bataan,Bataan,Orion,Orion
4707,105065,15.21119429,120.95608229999999,Region III,Bulacan,Bulacan,San Miguel,San Miguel North
4708,106306,15.77017476,120.6226864,Region III,Tarlac,Tarlac,Anao,Anao
4709,106496,15.38716176,120.71245729999998,Region III,Tarlac,Tarlac,La Paz,La Paz South
4710,106732,15.456634,120.664048,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac South
4711,106776,15.61999648,120.68330970000001,Region III,Tarlac,Tarlac,Victoria,Victoria East
4712,105196,15.610388,121.19848400000001,Region III,Nueva Ecija,Nueva Ecija,Bongabon,Bongabon
4713,105236,15.973635,121.062293,Region III,Nueva Ecija,Nueva Ecija,Carranglan,Carranglan
4714,105300,15.437941,121.328804,Region III,Nueva Ecija,Nueva Ecija,Gabaldon (Bitulok & Sabani),Gabaldon
4715,105375,15.644292,120.762146,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba East
4716,105535,15.720167,120.91883100000001,Region III,Munoz Science City,Nueva Ecija,Science City Of Muñoz,Munoz
4717,105810,15.555307,120.91282700000001,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera South
4718,105811,15.612869,120.946976,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera South
4720,106543,15.72082,120.55771499999999,Region III,Tarlac,Tarlac,Moncada,Moncada South
4721,106544,15.712176,120.555972,Region III,Tarlac,Tarlac,Moncada,Moncada South
4722,106814,15.27980215,120.08893379999999,Region III,Zambales,Zambales,Botolan,Botolan South
4723,160514,15.667691,119.935143,Region III,Zambales,Zambales,Botolan,Botolan South
4724,104942,14.908263,121.10205800000001,Region III,Bulacan,Bulacan,Norzagaray,Norzagaray
4725,106562,15.67134051,120.5010912,Region III,Tarlac,Tarlac,Paniqui,Paniqui North
4726,105930,15.093375,120.82855,Region III,Pampanga,Pampanga,Candaba,Candaba East
4727,105680,15.236117,120.909737,Region III,Nueva Ecija,Nueva Ecija,San Isidro,San Isidro
4728,104712,14.957988,121.071983,Region III,Bulacan,Bulacan,Doña Remedios Trinidad,Dona Remedios Trinidad
4729,106714,15.51816,120.565339,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac North
4730,104863,14.857299,120.81732,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),North District
4731,105479,15.561863,120.74323000000001,Region III,Nueva Ecija,Nueva Ecija,Licab,Licab
4732,105066,15.227877,120.99526200000001,Region III,Bulacan,Bulacan,San Miguel,San Miguel North
4733,104864,14.874658,120.83926399999999,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),North District
4734,105931,15.027199,120.833902,Region III,Pampanga,Pampanga,Candaba,Candaba East
4735,107072,15.527753,120.96325800000001,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City North District
4736,107132,14.85052092,120.2650519,Region III,Olongapo City,Zambales,Olongapo City,Olongapo City District III
4737,107133,14.85479261,120.2720889,Region III,Olongapo City,Zambales,Olongapo City,Olongapo City District III
